dataset,tier,model_dir,n_models,metric,stratum,estimate,ci95_low,ci95_high,one_sided95_lower,conditional_finite_ci95_low,conditional_finite_ci95_high,bootstrap_n,bootstrap_undefined,bootstrap_undefined_fraction,interval_status,geometric_shift_pct,geometric_ci95_low_pct,geometric_ci95_high_pct
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling-small_20260815_192811,1,binary,positive,0.07400379506641366,-0.12184873949579833,0.26988651637341154,-0.08836206896551724,-0.12184873949579833,0.26988651637341154,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling-small_20260815_192811,1,binary,negative,0.0,,,,0.0,0.0,10000,3861,0.3861,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling_20260815_030703,1,log,all,0.07592635056265706,-0.027718128820526374,0.18374760688124753,-0.010997180433175834,-0.027718128820526374,0.18374760688124753,10000,0,0.0,supported,7.8883112096987045,-2.7337506310476725,20.171248085627766
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling_20260815_030703,1,log,known_label,0.07586319716750012,-0.029807696318422748,0.18583359666259958,-0.013019376352043463,-0.029807696318422748,0.18583359666259958,10000,0,0.0,supported,7.8814979116917785,-2.9367828257589506,20.422185716820735
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling_20260815_030703,1,log,positive,0.0809754490749306,-0.02715553738165468,0.19488317308964742,-0.010404025478566047,-0.02715553738165468,0.19488317308964742,10000,0,0.0,supported,8.434427458492976,-2.679014076146669,21.516901375534108
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling_20260815_030703,1,log,negative,0.06936425414584946,,,,-0.37134207275389386,0.5108256237659923,10000,1774,0.1774,withheld_undefined_support,7.1826555317831025,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling_20260815_030703,1,binary,all,0.07815126050420168,-0.1386221590909091,0.2951388888888889,-0.1047627801120448,-0.1386221590909091,0.2951388888888889,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling_20260815_030703,1,binary,known_label,0.07012987012987015,-0.15000000000000002,0.28947622434464537,-0.1157894736842105,-0.15000000000000002,0.28947622434464537,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling_20260815_030703,1,binary,positive,0.06666666666666665,-0.16190476190476188,0.2918697981584978,-0.12577962577962576,-0.16190476190476188,0.2918697981584978,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling_20260815_030703,1,binary,negative,0.16666666666666669,,,,-0.8,1.0,10000,1774,0.1774,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,kimi-k3_20260815_030702,1,log,all,0.10178319882749065,0.006004209200540435,0.20002514552541828,0.02129343501083181,0.006004209200540435,0.20002514552541828,10000,0,0.0,supported,10.7143415715998,0.6022270594637921,22.14334713604193
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,kimi-k3_20260815_030702,1,log,known_label,0.11509024086550923,0.014272100004448163,0.2201970492624501,0.029750323722867657,0.014272100004448163,0.2201970492624501,10000,0,0.0,supported,12.197468097001389,1.4374432678205566,24.63222932812786
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,kimi-k3_20260815_030702,1,log,positive,0.07423310485884116,-0.03529862046004783,0.19205303129927404,-0.01871593756061163,-0.03529862046004783,0.19205303129927404,10000,0,0.0,supported,7.705784365258454,-3.468289022681107,21.17347751305392
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,kimi-k3_20260815_030702,1,log,negative,0.3584401986403094,,,,0.19983215189167342,0.5313580319151716,10000,78,0.0078,withheld_undefined_support,43.10954481155066,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,kimi-k3_20260815_030702,1,binary,all,0.31517747858017137,0.1098041451302321,0.5162601626016261,0.14320098317262242,0.1098041451302321,0.5162601626016261,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,kimi-k3_20260815_030702,1,binary,known_label,0.3770034843205575,0.16845185728250248,0.5782547388269543,0.20460358056265987,0.16845185728250248,0.5782547388269543,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,kimi-k3_20260815_030702,1,binary,positive,0.2714285714285714,0.03714293472357985,0.5,0.07808614555438509,0.03714293472357985,0.5,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,kimi-k3_20260815_030702,1,binary,negative,1.0,,,,1.0,1.0,10000,78,0.0078,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,minimax-m3_20260815_030703,1,log,all,0.20330789743338684,-0.007222543494138909,0.4157572886974568,0.02791198315744659,-0.007222543494138909,0.4157572886974568,10000,0,0.0,supported,22.544972299108878,-0.7196523607815576,51.55179908827072
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,minimax-m3_20260815_030703,1,log,known_label,0.20330789743338684,-0.007222543494138909,0.4157572886974568,0.02791198315744659,-0.007222543494138909,0.4157572886974568,10000,0,0.0,supported,22.544972299108878,-0.7196523607815576,51.55179908827072
