dataset,tier,model_dir,stratum,lower,upper,interpretation
full_fresh_plus_reviewed_corrections,per_model,inkling_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,kimi-k3_20260815_030702,all,0.019999999999999962,0.33999999999999997,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,kimi-k3_20260815_030702,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,kimi-k3_20260815_030702,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,kimi-k3_20260815_030702,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,minimax-m3_20260815_030703,all,-0.12,0.19000000000000006,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,minimax-m3_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,minimax-m3_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,minimax-m3_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,qwen3.5-122b-a10b_20260815_030702,all,0.44999999999999996,0.5599999999999999,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,qwen3.5-122b-a10b_20260815_030702,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,qwen3.5-122b-a10b_20260815_030702,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,qwen3.5-122b-a10b_20260815_030702,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,qwen3p8-2p4t-a95b_20260815_030703,all,0.18000000000000005,0.44999999999999996,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,qwen3p8-2p4t-a95b_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,qwen3p8-2p4t-a95b_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,qwen3p8-2p4t-a95b_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,primary_9,,all,0.07111111111111111,0.40888888888888886,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,primary_9,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,primary_9,,positive,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,primary_9,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,all_10,,all,0.054000000000000006,0.42699999999999994,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,all_10,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,all_10,,positive,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,all_10,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,raw_reasoning_8,,all,0.06625,0.415,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,raw_reasoning_8,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,raw_reasoning_8,,positive,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,raw_reasoning_8,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,claude_summary_only,,all,0.10999999999999999,0.36,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,claude_summary_only,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
